site,comid,longitude,latitude,objectid,fdate,resolution,gnis_id,gnis_name,lengthkm,reachcode,flowdir,wbareacomi,ftype,fcode,shape_length,streamleve,streamorde,streamcalc,fromnode,tonode,hydroseq,levelpathi,pathlength,terminalpa,arbolatesu,divergence,startflag,terminalfl,dnlevel,uplevelpat,uphydroseq,dnlevelpat,dnminorhyd,dndraincou,dnhydroseq,frommeas,tomeas,rtndiv,vpuin,vpuout,areasqkm,totdasqkm,divdasqkm,tidal,totma,wbareatype,pathtimema,hwnodesqkm,maxelevraw,minelevraw,maxelevsmo,minelevsmo,slope,elevfixed,hwtype,slopelenkm,qa_ma,va_ma,qc_ma,vc_ma,qe_ma,ve_ma,qa_01,va_01,qc_01,vc_01,qe_01,ve_01,qa_02,va_02,qc_02,vc_02,qe_02,ve_02,qa_03,va_03,qc_03,vc_03,qe_03,ve_03,qa_04,va_04,qc_04,vc_04,qe_04,ve_04,qa_05,va_05,qc_05,vc_05,qe_05,ve_05,qa_06,va_06,qc_06,vc_06,qe_06,ve_06,qa_07,va_07,qc_07,vc_07,qe_07,ve_07,qa_08,va_08,qc_08,vc_08,qe_08,ve_08,qa_09,va_09,qc_09,vc_09,qe_09,ve_09,qa_10,va_10,qc_10,vc_10,qe_10,ve_10,qa_11,va_11,qc_11,vc_11,qe_11,ve_11,qa_12,va_12,qc_12,vc_12,qe_12,ve_12,lakefract,surfarea,rareahload,rpuid,vpuid,enabled,huc2,huc4,huc6,huc8,huc10,huc12,burn_percent_fire_year,fire_years_used,burn_sev_high,burn_sev_low,burn_sev_mod,burn_sev_NA,pctbl2019ws,pctconif2019ws,pctcrop2019ws,pctdecid2019ws,pctgrs2019ws,pcthay2019ws,pcthbwet2019ws,pctice2019ws,pctmxfst2019ws,pctow2019ws,pctshrb2019ws,pcturbhi2019ws,pcturblo2019ws,pcturbmd2019ws,pcturbop2019ws,pctwdwet2019ws,tmax8110ws,pctcarbresidws,pctglactilloamws,rckdepws,pcteolfinews,precip8110ws,tmean8110ws,pctglactilcrsws,pctcolluvsedws,clayws,pcthydricws,pcteolcrsws,hydrlcondws,pctsallakews,pctextruvolws,runoffws,tmin8110ws,pctglaclakecrsws,bfiws,pctalkintruvolws,omws,pctglaclakefinews,kffactws,pctglactilclayws,wtdepws,pctalluvcoastws,permws,pctsilicicws,pctwaterws,pctcoastcrsws,pctnoncarbresidws,sandws
DS2,2889346,-105.364823,40.041668,1522252,1999-05-27 21:00:00,Medium,178470,Fourmile Creek,6.75,10190005000096,With Digitized,0,StreamRiver,46006,0.0702056934085644,6,2,2,550008858,550008861,550074683,550067758,3849.052,350002977,35.025,0,0,0,6,550067758,550084362,550067758,0,1,550067758,1.25598,100,0,0,0,14.9211,62.9001,62.9001,0,0.195826711947, ,37.6494973569,NA,-9998,174832,201169,174884,0.03894074,0, ,6.75,7.064,1.32254,11.471,1.36316,5.976,1.30889,3.268,0.98189,3.967,0.90858,1.172,0.72964,3.047,0.95731,4.035,0.91402,1.412,0.77345,1.064,0.67955,4.885,0.97873,2.96,0.99736,12.568,1.68549,27.037,1.97134,15.073,1.94358,22.226,2.17236,31.393,2.10861,24.349,2.41782,17.045,1.92734,30.191,2.07168,16.385,2.01768,12.955,1.70785,21.281,1.77283,3.217,1.02851,7.899,1.38453,8.647,1.21618,1.679,0.81824,4.847,1.13871,9.016,1.23655,0.928,0.68053,3.523,1.00931,11.216,1.35064,1.407,0.77257,1.792,0.79792,6.409,1.0827,1.839,0.84349,3.715,1.02934,4.498,0.94998,1.282,0.7502,NA,NA,NA,10c,10L,1,HUC-10,HUC-1019,HUC-101900,HUC-10190005,HUC-1019000504,HUC-101900050403,27.1144,2010,9.23,5.64,8.98,NA,0,64.12,0,0.9,18.92,0,0.12,0.07,0.09,0.13,12.81,0,0.55,0.08,1.61,0.6,12.8736329074,0,0,91.90476541372749,0,583.661642675,6.17392272385,0,0,12.658438667029145,0,0,0.0599,0,0,91,-0.530736380767,0,68.2947,0,0.773287641832048,0,0.234,0,175.29743221393926,0,12.82314083761393,100,0,0,0,57.2239805978051
DS3,2889356,-105.324566,40.0155,1522253,1999-05-27 21:00:00,Medium,178470,Fourmile Creek,0.086,10190005000096,With Digitized,0,StreamRiver,46006,0.000839836348950187,6,2,2,550008861,550008864,550067758,550067758,3848.966,350002977,35.111,0,0,0,5,550067758,550074683,550023265,0,1,550029678,0,1.25598,0,0,0,0.0054,62.9055,62.9055,0,0.00565833426349, ,37.6438390226,NA,-9998,174700,174884,174884,1e-05,1, ,0.086,7.064,0.58081,11.471,0.59172,5.976,0.57714,3.268,0.4893,3.968,0.46963,1.172,0.42155,3.047,0.4827,4.035,0.47107,1.412,0.43331,1.064,0.40809,4.886,0.48847,2.96,0.49346,12.568,0.6783,27.037,0.75508,15.074,0.74764,22.226,0.80908,31.393,0.79196,24.35,0.87503,17.045,0.74326,30.191,0.78204,16.385,0.76753,12.955,0.68431,21.281,0.70176,3.217,0.50182,7.899,0.59746,8.647,0.55224,1.679,0.44534,4.847,0.53142,9.016,0.55771,0.928,0.40835,3.523,0.49667,11.216,0.58835,1.407,0.43308,1.792,0.43988,6.41,0.5164,1.84,0.45217,3.716,0.50208,4.498,0.48073,1.282,0.42707,NA,NA,NA,10c,10L,1,HUC-10,HUC-1019,HUC-101900,HUC-10190005,HUC-1019000504,HUC-101900050403,27.1121,2010,9.23,5.64,8.98,NA,0,64.11,0,0.9,18.92,0,0.12,0.07,0.09,0.13,12.81,0,0.55,0.09,1.61,0.6,12.8740021467,0,0,91.90198798197297,0,583.656753905,6.174203149609999,0,0,12.658551255454615,0,0,0.0599,0,0,91,-0.530544437988,0,68.2946,0,0.7733302811359897,0,0.234,0,175.29767021961513,0,12.823153444452396,100,0,0,0,57.2239098647972
US1,2889272,-105.439101,40.036103,1522255,1999-05-27 21:00:00,Medium,178470,Fourmile Creek,4.359,10190005000098,With Digitized,0,StreamRiver,46006,0.0504488972800904,6,2,2,550008840,550008838,550099088,550067758,3860.468,350002977,15.375,0,0,0,6,550067758,550197303,550067758,0,1,550084362,0,100,0,0,0,12.0897,29.2743,29.2743,0,0.135304120314, ,37.9847528712,NA,-9998,219187,235193,219187,0.03671943,0, ,4.359,5.42,1.18603,9.062,1.22334,9.062,1.22334,1.942,0.81728,2.45,0.76522,2.45,0.76522,1.776,0.7937,2.478,0.76799,2.478,0.76799,0.394,0.52655,2.224,0.74234,2.224,0.74234,9.127,1.46583,21.016,1.73856,21.016,1.73856,16.245,1.8804,23.837,1.83748,23.837,1.83748,13.691,1.74392,25.057,1.87855,25.057,1.87855,10.794,1.57366,18.241,1.63496,18.241,1.63496,6.291,1.25831,7.19,1.11755,7.19,1.11755,3.653,1.02015,6.943,1.10267,6.943,1.10267,2.619,0.90487,8.887,1.21392,8.887,1.21392,1.34,0.72627,5.066,0.98027,5.066,0.98027,2.168,0.84791,2.709,0.79026,2.709,0.79026,NA,NA,NA,10c,10L,1,HUC-10,HUC-1019,HUC-101900,HUC-10190005,HUC-1019000504,HUC-101900050403,0,2010,0,0,0,NA,0,80.34,0,1.23,1.85,0,0.21,0.14,0.02,0.25,12.65,0.01,0.56,0.08,1.78,0.88,10.947398726500001,0,0,124.56904510099302,0,628.312815387,4.50001216137,0,0,11.236687982291636,0,0,0.1016,0,0,91,-1.9525278030700002,0,68.437,0,0.2787259814922987,0,0.201,0,172.4219931134135,0,12.78929842899745,100,0,0,0,58.24072708826513
Crane Creek,11750409,-83.093596,34.937946,311777,1999-07-06 21:00:00,Medium, , ,4.253,03060101000492,With Digitized,0,StreamRiver,46006,0.0414661021029408,7,2,2,250085676,250085680,250074427,250048767,558.803,250003618,5.713,0,0,0,7,250048767,250098393,250048767,0,1,250062052,0,100,0,0,0,2.8863,3.8925,3.8925,0,0.154125976385, ,299.930202631,NA,-9998,35090,68384,35177,0.078079,0, ,4.253,5.323,1.04026,6.044,1.04783,6.044,1.04783,7.669,1.19686,6.585,1.08227,6.585,1.08227,7.2,1.16758,6.642,1.08582,6.642,1.08582,7.74,1.20122,7.363,1.12955,7.363,1.12955,5.83,1.07649,5.862,1.03592,5.862,1.03592,5.348,1.04208,5.706,1.02558,5.706,1.02558,3.65,0.90738,4.801,0.96273,4.801,0.96273,2.698,0.81857,4.423,0.93485,4.423,0.93485,2.982,0.84642,6.384,1.06964,6.384,1.06964,3.995,0.93681,13.444,1.43888,13.444,1.43888,4.32,0.96346,17.881,1.62373,17.881,1.62373,5.898,1.08123,14.696,1.49362,14.696,1.49362,6.535,-9998,7.217,-9998,7.217,-9998,NA,NA,NA,03b,03N,1,HUC-03,HUC-0306,HUC-030601,HUC-03060101,HUC-0306010103,HUC-030601010301,0,1978,NA,NA,NA,0,0,5.27,0,47.95,0,0,0,0,42.68,0,0,0,0.12,0,3.98,0,19.4277678354,0,0,103.9273803468208,0,1869.82195423,13.536256079700001,0,0,19.032587283237,0,0,0.0622,0,0,1076.6185,7.6410583909600005,0,66.9644,0,0.6079699421965318,0,0.2456,0,174.3762289017341,0,7.067653179190753,24.67,0,0,75.33,46.72502196531793
Wash Branch,11750421,-83.0922,34.920959,311776,1999-07-06 21:00:00,Medium, , ,1.084,03060101000491,With Digitized,0,StreamRiver,46006,0.0106065448644046,7,2,2,250085680,250085684,250062052,250048767,557.719,250003618,10.636,0,0,0,7,250048767,250074427,250048767,0,1,250054254,0,100,0,0,0,2.5506,8.739,8.739,0,0.0412031815646, ,299.88899945,NA,-9998,33205,35177,33373,0.01664206,0, ,1.084,11.096,0.99353,12.243,0.99901,12.243,0.99901,16.445,1.15272,13.843,1.04556,13.843,1.04556,15.608,1.12962,14.099,1.05276,14.099,1.05276,16.73,1.16045,15.517,1.09162,15.517,1.09162,12.495,1.03812,12.347,1.00212,12.347,1.00212,11.176,0.99614,11.6,0.9795,11.6,0.9795,7.343,0.85866,9.561,0.91403,9.561,0.91403,5.16,0.76465,8.32,0.87093,8.32,0.87093,5.646,0.78698,12.223,0.99841,12.223,0.99841,7.766,0.87527,24.113,1.29819,24.113,1.29819,8.728,0.91153,31.302,1.44528,31.302,1.44528,12.209,1.0292,25.673,1.33169,25.673,1.33169,13.875,-9998,14.359,-9998,14.359,-9998,NA,NA,NA,03b,03N,1,HUC-03,HUC-0306,HUC-030601,HUC-03060101,HUC-0306010103,HUC-030601010301,NA,1978,NA,NA,NA,0,0,5.57,0,45.18,0.11,0,0,0,43.92,0,0,0,0.09,0,5.12,0,19.89976678,0,0,107.1367270854789,0,1790.14124474,13.930379831400002,0,0,20.119324407826984,0,0,1.6127,0,0,968.0682,7.9563927872399995,0,67.4125,0,0.5765355303810504,0,0.2478,0,172.58311431513906,0,6.653944387229661,54.52,0,0,45.48,47.123381050463436
Site_1,8943655,-120.062,38.868,2276612,1999-06-15 21:00:00,Medium,256258,Angora Creek,2.309,16050101000130,With Digitized,0,StreamRiver,46006,0.0249265664755238,6,1,1,800012583,800012565,800035988,800027378,275.396,800001173,3.073,0,0,0,6,800027378,800043350,800027378,0,1,800031024,0,82.87347,0,0,0,1.5282,2.7135,2.7135,0,0.0864002075995, ,91282.3287485,NA,-9998,195115,224981,195115,0.12934603,0, ,2.309,2.653,1.01876,2.476,1.0148,2.476,1.0148,2.349,0.9743,10.757,1.84939,10.757,1.84939,2.493,0.99568,10.873,1.85819,10.873,1.85819,3.167,1.0888,7.664,1.59551,7.664,1.59551,3.525,1.13447,4.402,1.26724,4.402,1.26724,4.446,1.24283,4.599,1.2898,4.599,1.2898,4.455,1.24384,3.518,1.15964,3.518,1.15964,3.465,1.12697,2.054,0.94807,2.054,0.94807,1.797,0.88601,1.115,0.77085,1.115,0.77085,0.947,0.71946,0.96,0.73552,0.96,0.73552,0.666,0.64938,1.193,0.78776,1.193,0.78776,2.186,0.94935,3.817,1.19732,3.817,1.19732,2.359,0.97581,6.886,1.52439,6.886,1.52439,NA,NA,NA,16a,16,1,HUC-16,HUC-1605,HUC-160501,HUC-16050101,HUC-1605010103,HUC-160501010303,0,2007,0,0,0,0,3.55,27.83,0,0,0,0,0,0,0,2.85,63.95,0,0.3,0,1.53,0,12.671667163499999,0,0,150.84103482587062,0,1148.1865798000001,6.1900935336,38.97,0,5.793243781094527,0,0,0.0535,0,0,539,-0.295839798404,0,66.996,0,2.4691376451077938,0,0.1553,0,173.81605638474298,0,9.48546600331675,61.03,0,0,0,70.28957545605307
Site_2,8943617,-120.041,38.88,2276611,1999-06-15 21:00:00,Medium,256258,Angora Creek,2.186,16050101000129,With Digitized,0,StreamRiver,46006,0.0230118873684827,6,2,2,800012565,800012566,800031024,800027378,273.21,800001173,7.72,0,0,0,6,800027378,800035988,800027378,0,1,800027378,0,100,0,0,0,3.0312,8.0658,8.0658,0,0.0885657977521, ,91282.2401827,NA,-9998,191806,195115,191921,0.01461116,0, ,2.186,6.585,0.94409,5.761,0.93725,5.761,0.93725,6.526,0.94106,16.511,1.40833,16.511,1.40833,7.802,1.004,15.834,1.38414,15.834,1.38414,10.277,1.11359,14.426,1.33224,14.426,1.33224,11.378,1.15831,11.423,1.2129,11.423,1.2129,12.386,1.19749,12.782,1.26853,12.782,1.26853,9.35,1.07417,7.811,1.04758,7.811,1.04758,6.086,0.91804,3.539,0.79388,3.539,0.79388,3.151,0.7382,1.832,0.65064,1.832,0.65064,1.686,0.61675,1.503,0.61649,1.503,0.61649,1.237,0.57,1.795,0.64695,1.795,0.64695,3.618,0.77093,5.162,0.90164,5.162,0.90164,5.584,0.8908,10.656,1.18012,10.656,1.18012,NA,NA,NA,16a,16,1,HUC-16,HUC-1605,HUC-160501,HUC-16050101,HUC-1605010103,HUC-160501010303,76.4673,2007,38.19,11.93,16.63,NA,1.19,18.28,0,0,0.04,0,1.06,0,0,0.96,68.52,0,4.49,0.25,4.23,0.98,13.6319057506,0,0,151.20188797143499,0,995.109503834,6.433542302239999,78.32,0,6.92437960276724,0,0,11.7127,0,0,539,-0.769946257402,0,68.3568,0,2.1732135683999108,0,0.1636,0,161.979610577996,0,11.391510823476901,21.68,0,0,0,69.37771925909395
Site_3,8943617,-120.03,38.879,2276611,1999-06-15 21:00:00,Medium,256258,Angora Creek,2.186,16050101000129,With Digitized,0,StreamRiver,46006,0.0230118873684827,6,2,2,800012565,800012566,800031024,800027378,273.21,800001173,7.72,0,0,0,6,800027378,800035988,800027378,0,1,800027378,0,100,0,0,0,3.0312,8.0658,8.0658,0,0.0885657977521, ,91282.2401827,NA,-9998,191806,195115,191921,0.01461116,0, ,2.186,6.585,0.94409,5.761,0.93725,5.761,0.93725,6.526,0.94106,16.511,1.40833,16.511,1.40833,7.802,1.004,15.834,1.38414,15.834,1.38414,10.277,1.11359,14.426,1.33224,14.426,1.33224,11.378,1.15831,11.423,1.2129,11.423,1.2129,12.386,1.19749,12.782,1.26853,12.782,1.26853,9.35,1.07417,7.811,1.04758,7.811,1.04758,6.086,0.91804,3.539,0.79388,3.539,0.79388,3.151,0.7382,1.832,0.65064,1.832,0.65064,1.686,0.61675,1.503,0.61649,1.503,0.61649,1.237,0.57,1.795,0.64695,1.795,0.64695,3.618,0.77093,5.162,0.90164,5.162,0.90164,5.584,0.8908,10.656,1.18012,10.656,1.18012,NA,NA,NA,16a,16,1,HUC-16,HUC-1605,HUC-160501,HUC-16050101,HUC-1605010103,HUC-160501010303,76.4673,2007,38.19,11.93,16.63,NA,1.19,18.28,0,0,0.04,0,1.06,0,0,0.96,68.52,0,4.49,0.25,4.23,0.98,13.6319057506,0,0,151.20188797143499,0,995.109503834,6.433542302239999,78.32,0,6.92437960276724,0,0,11.7127,0,0,539,-0.769946257402,0,68.3568,0,2.1732135683999108,0,0.1636,0,161.979610577996,0,11.391510823476901,21.68,0,0,0,69.37771925909395
Site_4,8943621,-120.013,38.873,2276492,1999-06-15 21:00:00,Medium,236928,Upper Truckee River,0.525,16050101000012,With Digitized,0,StreamRiver,46006,0.00594791573440588,5,3,3,800012567,800012563,800012042,800007273,271.279,800001173,93.656,0,0,0,5,800007273,800012532,800007273,0,1,800011163,0,100,0,0,0,0.2178,126.4671,126.4671,0,0.0291580623611, ,91282.1493033,NA,-9998,191496,191496,191496,1e-05,0, ,0.525,116.51,0.68766,83.17,0.67744,102.384,0.68371,86.553,0.63229,48.819,0.58651,62.468,0.5971,91.572,0.64213,35.641,0.54372,48.403,0.56053,124.878,0.70189,55.201,0.60526,80.778,0.63932,148.233,0.73939,92.251,0.69832,146.743,0.76276,189.327,0.7992,194.188,0.88733,346.171,1.02509,195.65,0.80783,205.905,0.90562,292.225,0.96342,170.511,0.77266,88.61,0.69007,106.274,0.69122,103.265,0.66412,40.007,0.55861,21.169,0.47091,56.624,0.56695,22.965,0.49473,12.421,0.43084,47.359,0.54354,19.962,0.48137,10.476,0.42025,94.027,0.64685,36.34,0.54616,19.086,0.46222,91.197,0.6414,43.876,0.57118,25.877,0.4892,NA,NA,NA,16a,16,1,HUC-16,HUC-1605,HUC-160501,HUC-16050101,HUC-1605010103,HUC-160501010303,7.0197,2007,2.98,1.28,1.77,NA,1.64,52.7,0,0.03,0.16,0,1.81,0,0.02,1.5,34.11,0.05,3.08,0.49,2.45,1.96,12.0908167518,0,0,96.49499533816251,0,1178.69333187,5.58119887156,27.75,0,5.3624480384422295,0,0,5.9741,0,0,544.7302,-0.9329272740200001,0,67.3658,0,2.123306964067991,0,0.1165,0,174.03587965287244,0,22.869629491501108,72.25,0,0,0,72.41352320160655
B1,2899747,-105.45421,40.63763,1523975,1999-05-27 21:00:00,Medium,177166,Pendergrass Creek,4.967,10190007000447,With Digitized,0,StreamRiver,46006,0.0488329638299031,6,1,1,550009783,550009733,550124323,550124323,3878.231,350002977,7.541,0,0,0,5,550124323,550196783,550038427,0,1,550038427,0,65.96198,0,0,0,8.5752,13.1454,13.1454,0,0.16266101576, ,38.1522439933,NA,-9998,211697,249594,211697,0.07629756,1, ,4.967,2.067,1.11783,3.843,1.15953,3.843,1.15953,0.395,0.64454,0.56,0.61446,0.56,0.61446,0.368,0.63213,0.598,0.62532,0.598,0.62532,0.112,0.48053,0.822,0.68365,0.822,0.68365,3.081,1.30893,8.939,1.64091,8.939,1.64091,8.876,2.06325,14.019,2.00057,14.019,2.00057,5.672,1.69187,11.84,1.85539,11.84,1.85539,3.137,1.31855,6.421,1.42623,6.421,1.42623,1.728,1.04439,2.523,0.98909,2.523,0.98909,1.089,0.88436,2.268,0.95165,2.268,0.95165,0.603,0.7292,2.81,1.02917,2.81,1.02917,0.288,0.59262,1.461,0.81768,1.461,0.81768,0.391,0.64273,0.54,0.60861,0.54,0.60861,NA,NA,NA,10c,10L,1,HUC-10,HUC-1019,HUC-101900,HUC-10190007,HUC-1019000701,HUC-101900070105,100,2002_2012,56.78,13.88,25.98,NA,0,7.56,0,0.05,60.88,0,0.01,0,0.16,0,30.83,0,0,0,0.01,0.51,11.2868423833,0,0,130.17000000000002,0,561.6649461430001,4.5353038129500005,0,0,10.61,0,0,0.1549,0,0,39.1054,-2.221087161,0,66.9965,0,0.19,0,0.1979,0,171.45000000000005,0,12.97,100,0,0,0,58.54658017253184
B2,190641,-105.22692,39.26458,1520090,1999-05-31 21:00:00,Medium,183517,Brush Creek,3.006,10190002000361,With Digitized,0,StreamRiver,46006,0.0314614289309334,4,1,1,550000859,550000860,550126370,550126370,3938.61,350002977,5,0,0,0,3,550126370,550201899,550000622,0,1,550017935,0,60.09606,0,0,0,2.6532,6.129,6.129,0,0.118082772909, ,53.9179297208,NA,-9998,194423,220924,194439,0.08810711,1, ,3.006,0.205,0.9215,0.493,0.96666,0.493,0.96666,0.138,0.80529,0.212,0.72891,0.212,0.72891,0.256,0.99827,0.43,0.92056,0.43,0.92056,0.177,0.8755,1.18,1.35474,1.18,1.35474,0.492,1.28435,2.111,1.73337,2.111,1.73337,0.435,1.22258,0.991,1.26211,0.991,1.26211,0.275,1.025,0.904,1.21669,0.904,1.21669,0.335,1.10418,0.971,1.25184,0.971,1.25184,0.343,1.11421,0.681,1.08985,0.681,1.08985,0.172,0.86694,0.414,0.90836,0.414,0.90836,0.143,0.81477,0.912,1.22095,0.912,1.22095,0.082,0.68529,0.53,0.99245,0.53,0.99245,0.228,0.95711,0.326,0.83686,0.326,0.83686,NA,NA,NA,10c,10L,1,HUC-10,HUC-1019,HUC-101900,HUC-10190002,HUC-1019000204,HUC-101900020407,90.3084,2002_2012,38.06,9.93,22.73,NA,0,28.34,0,0,51.73,0,0,0,0,0,18.38,0,0.03,0.04,1.47,0,15.1575861658,0,0,48.7,0,502.32296909,6.99432171781,0,0,8.84,0,0,2e-4,0,0,106,-1.17357018294,0,64.5137,0,0.66,0,0.19,0,170.33,0,26.69,100,0,0,0,64.58868869309839
B3,190845,-105.22988,39.1869,1520425,1999-05-31 21:00:00,Medium,183714,Fourmile Creek,6.156,10190002000687,With Digitized,0,StreamRiver,46006,0.0593031552574507,4,1,1,550000922,550000895,550126350,550100127,3947.398,350002977,7.156,0,0,0,4,550100127,550201941,550100127,0,1,550100127,0,85.99419,0,0,0,10.0305,11.5452,11.5452,0,0.230516488225, ,54.1593540124,NA,-9998,221425,252026,221695,0.04927063,0, ,6.156,0.526,0.9713,1.138,1.01407,1.138,1.01407,0.257,0.76159,0.377,0.70088,0.377,0.70088,0.395,0.87778,0.638,0.82737,0.638,0.82737,0.314,0.81245,1.858,1.22389,1.858,1.22389,1.17,1.32189,4.17,1.71472,4.17,1.71472,1.466,1.45083,2.882,1.46422,2.882,1.46422,0.887,1.1833,2.443,1.36711,2.443,1.36711,0.837,1.15676,2.104,1.28638,2.104,1.28638,0.752,1.10986,1.285,1.06109,1.285,1.06109,0.349,0.84155,0.794,0.8913,0.794,0.8913,0.31,0.80903,1.668,1.17292,1.668,1.17292,0.17,0.67229,0.953,0.95062,0.953,0.95062,0.375,0.86228,0.52,0.77397,0.52,0.77397,NA,NA,NA,10c,10L,1,HUC-10,HUC-1019,HUC-101900,HUC-10190002,HUC-1019000204,HUC-101900020406,100,2002_2012,64.15,9.28,18.59,NA,0,12.78,0,0,65.3,0,0.19,0,0.09,0,20.62,0,0.02,0,0.05,0.95,14.4941287023,0,0,48.7,0,521.233878386,6.54662546696,0,0,8.84,0,0,2e-4,0,0,106,-1.4059813180200003,0,59.2659,0,0.66,0,0.19,0,170.33,0,26.69,100,0,0,0,64.59
U1,2899323,-105.539788,40.697022,1524783,2009-07-06 21:00:00,Medium, , ,1.535,10190007001492,With Digitized,0,StreamRiver,46006,0.0158204249692905,5,2,2,550009674,550009654,550124343,550124343,3885.145,350002977,7.712,0,0,0,4,550124343,550196837,550017196,0,1,550026198,0,100,0,0,0,1.188,7.8615,7.8615,0,0.0597146535655, ,38.2815583036,NA,-9998,213124,224795,213124,0.07603257,1, ,1.535,0.207,0.93038,0.497,0.97611,0.497,0.97611,0.131,0.79623,0.201,0.72127,0.201,0.72127,0.141,0.81566,0.252,0.77395,0.252,0.77395,0.081,0.68632,0.638,1.07081,0.638,1.07081,0.402,1.1932,1.801,1.63123,1.801,1.63123,0.665,1.4643,1.441,1.48351,1.441,1.48351,0.395,1.18498,1.228,1.38782,1.228,1.38782,0.323,1.09615,0.942,1.24606,0.942,1.24606,0.272,1.02744,0.565,1.02317,0.565,1.02317,0.23,0.96617,0.54,1.00619,0.54,1.00619,0.105,0.74215,0.717,1.11956,0.717,1.11956,0.005,0.39452,0.055,0.51586,0.055,0.51586,0.117,0.76781,0.174,0.69083,0.174,0.69083,NA,NA,NA,10c,10L,1,HUC-10,HUC-1019,HUC-101900,HUC-10190007,HUC-1019000702,HUC-101900070210,0,2002_2012,0,0,0,NA,0,81.76,0,2.74,0.32,0,0,0,0,0,14.56,0,0.05,0.01,0.06,0.5,12.178101110799998,0,0,79.71012020606754,0,453.022517821,5.19793165695,0,0,15.639439038351457,0,0,0.2663,0,0,39,-1.7862569261099996,0,63.4568,0,0.7244419004006869,0,0.2763,0,179.67410417859188,0,13.265002862049228,100,0,0,0,49.45477046365197
U2,11058,-105.3528,40.56558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2002_2012,0,0,0,NA,0,92.11,0,2.87,0.17,0,0.22,0,0.06,0,2.78,0,0,0,0.07,1.72,11.1319499779,0,0,129.75728239051097,0,576.807514941,4.53439513936,0,0,10.65113640510949,0,0,0.1159,0,0,48,-2.06878404287,0,67.6019,0,0.19452919708029195,0,0.1916,0,171.51726596715332,0,12.972412864963506,100,0,0,0,58.502510948905105
U3,190549,-105.23735,39.31629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2002_2012,0,0,0,0,0.06,82.28,0,0.64,6.35,0,0.04,0,0,0,8.29,0,0.41,0.04,1.67,0.21,14.7280396216,0,0,49.40992998179527,0,533.7376668769999,6.82779835379,0,0,9.222269990197454,0,0,2e-4,0,0,106,-1.0764209205600002,0,65.0517,0,0.7970816412267189,0,0.2129,0,173.59359753535918,0,27.34531998319564,100,0,0,0,63.558565326985025
Camas Creek,23075361,-120.291846,48.035327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,NA,NA,NA,0,0,32.54,0,0,23.95,0,0,0,0,0,40.56,1.57,0.94,0.05,0.39,0,11.1638613165,0,0,142.6529453791196,0,626.354627804,6.062999515669999,0,0,7.973355611892141,0,0,0.0331,0,0,777,0.9573068514659999,0,71,0,0.5531481908273795,0,0.2813,0,182.88,0,17.713579165706385,100,0,0,0,59.9761004839825
